ROW | EXT_1 | EXT_2 | EXT_3 | EXT_4
2B3 |    -9 |   -32 |   -29 |   -32
2B4 |     6 |   -24 |   -16 |   -32
2B5 |    31 |     0 |   -29 |   -10
2B6 |    17 |     0 |   -32 |   -16
2B7 |   -15 |   -24 |   -29 |    10
2B8 |     4 |    11 |   -32 |   -16
2B9 |    -6 |     0 |    -8 |     3
2BA |   -26 |   -26 |   -32 |   -16
2BB |   -13 |    -7 |   -12 |    -6
2BC |    26 |     6 |   -32 |   -14
2BD |    26 |     4 |   -25 |    -5
2BE |    -9 |   -19 |   -27 |   -23
2BF |   -22 |    -9 |   -32 |    -8
2C0 |     7 |   -22 |   -32 |     1
2C1 |   -13 |   -13 |   -32 |   -25
2C2 |   -27 |     1 |     0 |   -19
2C3 |   -31 |    25 |    -6 |    -4
2C4 |   -21 |     8 |     9 |    -9
2C5 |   -12 |    20 |     7 |     7
2C6 |   -16 |     7 |    13 |    19
2C7 |    -6 |    29 |   -11 |    15
2C8 |   -12 |    18 |    15 |    11
2C9 |   -25 |    31 |    26 |    -9
2CA |    -5 |    27 |    -2 |    15
2CB |   -25 |    27 |    -7 |    19
2CC |   -18 |    20 |     4 |    26
2CD |    -3 |    -3 |    -7 |    31
2CE |   -25 |     1 |   -26 |    31
2CF |   -12 |    14 |   -17 |    20
2D0 |   -16 |    10 |    -6 |    24
2D1 |    23 |     2 |    10 |     3
2D2 |    31 |   -13 |    21 |    31
2D3 |     5 |    24 |    14 |    16
2D4 |    31 |   -26 |     1 |     3
2D5 |    20 |    31 |    12 |   -23
2D6 |    18 |    31 |    10 |    31
2D7 |    12 |   -15 |    10 |    12
2D8 |    21 |     4 |    -5 |    31
2D9 |    31 |    26 |   -12 |    14
2DA |    16 |     7 |    25 |   -18
2DB |    29 |    17 |    31 |    14
2DC |    14 |    11 |    -5 |    27
2DD |    14 |   -22 |     7 |   -10
2DE |    31 |    -4 |    31 |     3
2DF |     1 |     2 |     5 |     7
2E0 |    12 |   -13 |     1 |   -14
2E1 |     8 |     9 |   -12 |    12
2E2 |    -1 |    -2 |    18 |   -25
2E3 |    21 |    -4 |   -31 |   -10
2E4 |     7 |    -2 |    -8 |    10
2E5 |     5 |   -13 |    12 |   -27
2E6 |     1 |   -17 |   -19 |   -31
2E7 |    14 |    20 |     1 |    14
2E8 |    12 |    26 |    -8 |    -8
2E9 |    21 |    17 |    16 |    -8
2EA |    -6 |   -13 |   -21 |     5
2EB |    31 |    13 |    23 |    14
2EC |    31 |   -13 |   -16 |   -12
2ED |    12 |   -26 |   -12 |    12
2EE |     8 |    13 |    10 |    18
2EF |    -4 |    19 |    -8 |   -13
2F0 |    19 |    -2 |    16 |   -15
2F1 |     4 |    11 |    18 |   -19
2F2 |    31 |     0 |    -1 |   -15
2F3 |    -2 |     0 |    -6 |     0
2F4 |     7 |   -17 |    31 |   -32
2F5 |    26 |    20 |    16 |   -32
2F6 |    26 |    20 |    23 |   -32
2F7 |    13 |    26 |    12 |   -24
2F8 |    11 |    -7 |    14 |   -20
2F9 |    31 |    13 |    21 |   -20
2FA |    20 |     7 |    25 |   -11
2FB |    11 |    31 |    10 |     0
2FC |    26 |     0 |    25 |   -32
2FD |    19 |     9 |    16 |   -20
2FE |     1 |    -9 |    -4 |     4
2FF |    27 |     2 |   -24 |     9
300 |   -25 |   -19 |   -11 |    -2
301 |    12 |    22 |     0 |     2
302 |     7 |    19 |   -15 |     0
303 |     7 |   -22 |     7 |     0
304 |   -19 |     0 |   -17 |     6
305 |     1 |    -9 |   -20 |    -9
306 |    -1 |     7 |   -24 |    17
307 |    -5 |    -7 |   -19 |    17
308 |    -6 |   -32 |   -26 |     4
309 |   -18 |    -7 |     0 |   -11
30A |    12 |   -28 |    -7 |    -6
30B |    31 |     2 |    -9 |    26
30C |   -27 |    22 |   -24 |    19
30D |    -3 |   -32 |    29 |    26
30E |    31 |    31 |    25 |   -32
30F |    31 |     3 |    31 |   -13
310 |     1 |    12 |   -23 |    -7
311 |    29 |    16 |    16 |   -11
312 |    31 |    -6 |    31 |   -11
313 |   -32 |     5 |   -25 |    13
314 |    14 |    14 |    14 |   -13
315 |    23 |     8 |    25 |    -4
316 |    27 |     5 |    -3 |     4
317 |    23 |    14 |     7 |   -13
318 |    31 |     7 |    25 |     4
319 |    31 |    31 |    29 |    -4
31A |    12 |     5 |   -12 |   -32
31B |    31 |    31 |     1 |   -11
31C |    12 |    -4 |    -5 |     7
31D |   -16 |   -19 |    -1 |    18
31E |    -5 |   -11 |     1 |    31
31F |   -19 |   -32 |    16 |    10
320 |     1 |     0 |     1 |    31
321 |   -16 |     2 |   -12 |    29
322 |   -12 |   -15 |   -12 |    14
323 |    -5 |     0 |     1 |     5
324 |    14 |    -4 |    -1 |    14
325 |    -8 |    13 |   -12 |     5
326 |    -8 |    -7 |     1 |    31
327 |    -6 |     0 |     3 |    16
328 |    -6 |    20 |    -8 |    31
329 |     1 |    20 |     1 |    31
32A |    -6 |    13 |    -1 |    29
32B |   -12 |     0 |    -4 |    29
32C |     1 |   -32 |   -15 |    -5
32D |    -8 |    -9 |    20 |     7
32E |    20 |    -6 |    20 |    -6
32F |    -8 |     7 |     0 |    10
330 |   -14 |    26 |     6 |    -6
331 |    -3 |     6 |     0 |   -12
332 |   -23 |    -7 |    -7 |    -5
333 |    -3 |    26 |   -11 |    31
334 |   -14 |    -6 |   -13 |    10
335 |   -23 |   -19 |    17 |     1
336 |    -6 |   -15 |   -11 |    -3
337 |   -29 |   -15 |   -30 |    14
338 |   -32 |     4 |    13 |     7
339 |   -18 |   -13 |    13 |     8
33A |    19 |   -18 |    26 |    17
33B |    -6 |    -8 |   -11 |     9
33C |    -6 |   -14 |    -6 |     0
33D |   -32 |   -12 |     6 |    13
33E |   -13 |   -14 |   -26 |     2
33F |     2 |     5 |     6 |    -7
340 |   -11 |   -27 |    -2 |     6
341 |   -11 |   -19 |    -2 |     2
342 |    -7 |   -32 |    -6 |   -32
343 |    -2 |    -3 |   -17 |    -9
344 |    24 |    12 |     2 |   -13
345 |   -24 |   -27 |    24 |   -15
346 |     0 |   -32 |   -13 |    11
347 |   -28 |   -23 |    30 |   -13
348 |    -7 |   -12 |    -9 |    13
349 |     3 |    31 |     7 |    31
34A |   -12 |    25 |    14 |    20
34B |    21 |    31 |     5 |     0
34C |   -27 |    -1 |    -8 |     2
34D |   -32 |    16 |    10 |    13
34E |   -12 |     1 |   -14 |    15
34F |   -10 |   -10 |     1 |    15
350 |    21 |   -10 |    21 |     0
351 |    21 |     1 |    12 |    31
352 |     7 |     8 |    16 |    28
353 |     5 |    14 |     3 |   -13
354 |    -3 |    27 |    14 |    13
355 |   -27 |   -21 |     1 |    31
356 |   -14 |    18 |    -1 |    20
357 |     5 |    31 |    -3 |    17
358 |    -8 |     3 |     0 |    -1
359 |    25 |   -27 |    17 |   -18
35A |    21 |   -16 |   -13 |   -32
35B |    31 |     8 |   -28 |   -32
35C |    31 |   -25 |   -22 |   -32
35D |    23 |    -6 |    19 |     3
35E |    14 |    -8 |   -26 |    -6
35F |     7 |     1 |   -11 |   -27
360 |   -19 |   -32 |   -20 |    10
361 |    20 |   -31 |   -22 |    12
362 |     7 |   -25 |   -22 |    -1
363 |    12 |   -31 |    -7 |   -32
364 |    27 |   -25 |    15 |   -32
365 |    20 |   -18 |   -13 |    -1
366 |    -1 |   -31 |     9 |     1
367 |     5 |    -1 |    -5 |    -6
368 |   -19 |   -12 |    -3 |     2
369 |   -25 |    12 |    -5 |     0
36A |   -31 |     1 |    14 |    -2
36B |    -8 |    10 |    20 |   -15
36C |   -12 |    -6 |     1 |   -32
36D |    21 |    14 |    20 |   -22
36E |   -12 |    -3 |    -5 |     6
36F |    31 |    -8 |   -32 |   -15
370 |   -25 |   -12 |   -12 |     0
371 |   -18 |   -23 |     1 |   -22
372 |   -27 |    14 |    16 |   -13
373 |    27 |    -5 |    21 |    -6
374 |    23 |   -12 |   -10 |    15
375 |   -14 |    14 |    -5 |    -4
376 |    16 |    12 |   -22 |     6
377 |    31 |     8 |   -32 |   -13
378 |   -19 |     8 |   -13 |     7
379 |    -6 |     7 |   -15 |     0
37A |     1 |    31 |    -6 |    24
37B |    23 |    23 |   -28 |    11
37C |   -10 |    -8 |   -13 |    31
37D |    14 |   -21 |   -20 |   -28
37E |   -10 |     8 |   -24 |    19
37F |    10 |    -5 |   -26 |     7
380 |    14 |   -23 |     0 |   -32
381 |    31 |     3 |     6 |   -24
382 |   -18 |   -12 |   -13 |   -20
383 |    18 |    18 |    -6 |    -6
384 |     3 |    -5 |   -22 |     6
385 |    -1 |    -2 |    -2 |     7
386 |    18 |    11 |     7 |   -10
387 |    31 |   -13 |     6 |    -6
388 |    21 |   -28 |    13 |   -12
389 |    -5 |    -9 |    -2 |     3
38A |     3 |    -2 |   -11 |     8
38B |    21 |    -7 |    -2 |    14
38C |     8 |    -6 |    -4 |     5
38D |    21 |   -13 |    11 |    31
38E |    31 |   -13 |   -20 |    10
38F |   -12 |     2 |     0 |   -12
390 |    10 |   -19 |     0 |    -5
391 |     7 |     2 |   -13 |    16
392 |    -3 |   -30 |     0 |     3
393 |     5 |   -13 |    -2 |    -3
394 |    -5 |    17 |     1 |    16
395 |   -25 |    24 |     7 |     1
396 |   -23 |    20 |     3 |    14
397 |    -5 |    31 |    14 |     3
398 |   -12 |    31 |     7 |    23
399 |    -5 |    22 |     1 |    -5
39A |   -21 |    28 |     1 |    31
39B |    -1 |    31 |     5 |    31
39C |   -25 |    11 |   -25 |    -1
39D |   -32 |    13 |   -29 |   -10
39E |   -29 |     0 |    20 |     1
39F |   -31 |    13 |     7 |    -3
3A0 |   -32 |     2 |    21 |    10
3A1 |    -5 |    24 |    14 |    10
3A2 |   -29 |     4 |    16 |     1
3A3 |     7 |    11 |    -6 |     4
3A4 |    25 |   -13 |     0 |   -11
3A5 |    -5 |   -26 |     0 |    13
3A6 |    10 |    11 |    -6 |    -7
3A7 |   -12 |    31 |     9 |     6
3A8 |    -3 |   -32 |   -13 |   -32
3A9 |   -12 |    20 |     9 |    31
3AA |    -3 |   -26 |     0 |     9
3AB |    -1 |     9 |     0 |    -2
3AC |    -8 |    20 |   -13 |    22
3AD |     7 |   -22 |   -17 |     0
3AE |     1 |    -9 |   -11 |     0
3AF |    31 |    11 |    30 |     9
3B0 |     7 |     7 |     9 |     6
3B1 |    20 |   -26 |     2 |    22
3B2 |    -6 |    -1 |    -6 |   -27
3B3 |    20 |    -8 |     9 |   -16
3B4 |    11 |    -8 |    13 |   -12
3B5 |     2 |    -3 |    15 |     7
3B6 |     4 |    -3 |    13 |   -10
3B7 |     6 |    -1 |    17 |     1
3B8 |     2 |   -21 |   -13 |    -3
3B9 |    -2 |    10 |    11 |   -14
3BA |    13 |   -25 |    19 |     1
3BB |     9 |    -6 |     0 |   -18
3BC |    15 |   -12 |    -4 |     8
3BD |   -19 |   -12 |   -24 |     3
3BE |    11 |     1 |     0 |    14
3BF |     0 |    -1 |    17 |     1
3C0 |    15 |     5 |   -15 |    16
3C1 |    -6 |    21 |     4 |     0
3C2 |   -25 |   -27 |   -11 |   -32
3C3 |     3 |    20 |     2 |     0
3C4 |    31 |    31 |    31 |    -7
3C5 |    -5 |    14 |    24 |    -4
3C6 |    -6 |   -12 |     9 |    31
3C7 |    29 |    12 |    26 |    13
3C8 |    18 |    27 |    20 |   -13
3C9 |    18 |   -12 |    -7 |   -22
3CA |     7 |    12 |    17 |    -2
3CB |    -1 |    -6 |    15 |    30
3CC |   -12 |    12 |    15 |    -6
3CD |    14 |    31 |   -13 |   -22
3CE |    29 |     8 |    31 |    17
3CF |    21 |    29 |    31 |    13
3D0 |     0 |    31 |    13 |    30
3D1 |     2 |    14 |     6 |     2
3D2 |    -7 |     3 |     0 |    -2
3D3 |    -6 |    27 |    -6 |     6
3D4 |   -20 |    31 |     9 |    17
3D5 |   -32 |    31 |     7 |     4
3D6 |    -9 |    14 |   -13 |     0
3D7 |    -4 |    10 |   -13 |     7
3D8 |     0 |    -3 |   -22 |   -19
3D9 |     2 |   -10 |   -15 |    19
3DA |   -13 |    12 |     6 |   -17
3DB |   -17 |    18 |     4 |     0
3DC |   -17 |    27 |     2 |    -6
3DD |   -20 |    27 |   -19 |    -9
3DE |   -32 |    18 |   -32 |     0
3DF |   -23 |    31 |    27 |   -16
3E0 |   -21 |    -6 |    -1 |   -31
3E1 |     7 |     7 |    -6 |     3
3E2 |     1 |     5 |    12 |   -29
3E3 |   -32 |     8 |    21 |   -14
3E4 |     7 |   -19 |   -19 |    -3
3E5 |     1 |     1 |     3 |    -3
3E6 |   -18 |     1 |    21 |     1
3E7 |    10 |    -6 |   -25 |     3
3E8 |    -1 |   -16 |   -12 |   -21
3E9 |    -3 |    -6 |    31 |   -12
3EA |    10 |     5 |   -12 |    16
3EB |    27 |    -1 |    21 |   -25
3EC |   -16 |    14 |     1 |   -16
3ED |     5 |     8 |    -8 |     7
3EE |    -4 |    15 |     9 |     4
3EF |   -22 |   -24 |   -32 |    26
3F0 |    31 |   -22 |    30 |   -26
3F1 |     6 |    13 |   -13 |    22
3F2 |    15 |     0 |   -15 |     7
3F3 |    28 |    -2 |    20 |     7
3F4 |    15 |    13 |   -20 |     7
3F5 |    -7 |    -7 |   -32 |    26
3F6 |   -13 |    -9 |   -30 |    13
3F7 |    13 |   -28 |   -32 |     4
3F8 |    19 |    -7 |    15 |    -4
3F9 |     0 |     7 |    -6 |   -13
3FA |     7 |   -32 |   -24 |    -2
3FB |    20 |   -17 |     4 |    31
3FC |    17 |   -19 |   -11 |    19
3FD |     1 |   -25 |    16 |   -27
3FE |     7 |    -1 |   -18 |    -5
3FF |   -27 |   -10 |    -5 |    -5
400 |   -16 |    12 |    12 |     7
401 |   -10 |    14 |   -12 |    12
402 |   -29 |    -5 |    -8 |    -1
403 |    16 |   -14 |     1 |   -16
404 |   -21 |     8 |   -32 |   -16
405 |   -23 |    -6 |   -29 |     8
406 |   -12 |   -12 |     1 |     1
407 |    -1 |    -1 |   -32 |   -12
408 |     1 |     1 |     5 |   -18
409 |    -8 |   -32 |   -27 |    31
40A |     8 |   -14 |    12 |     8
40B |   -23 |   -29 |   -12 |    29
40C |   -13 |    -7 |    12 |   -11
40D |    -6 |   -13 |    14 |    22
40E |    -7 |     0 |    16 |     6
40F |    17 |   -22 |     1 |     0
410 |     2 |    15 |    -6 |    -2
411 |     2 |   -20 |   -21 |    15
412 |    31 |     4 |    23 |    11
413 |   -24 |   -11 |   -32 |    -2
414 |    26 |     7 |   -32 |    20
415 |    11 |     6 |     1 |     7
416 |    -2 |    11 |   -16 |    -9
417 |     0 |     7 |   -21 |     6
418 |    22 |     0 |     5 |    22
419 |     9 |    -9 |    -3 |     4
41A |     2 |   -17 |    -3 |   -13
41B |    -9 |    -6 |    -4 |     6
41C |    26 |    -9 |    -2 |    15
41D |    11 |    -4 |    13 |    20
41E |    24 |   -13 |    -2 |    26
41F |    20 |   -15 |     2 |    31
420 |    19 |    -2 |    28 |    13
421 |    30 |     6 |     0 |    31
422 |     6 |    -7 |    31 |    15
423 |    -4 |   -13 |    -6 |    -4
424 |     4 |   -24 |    19 |     4
425 |    31 |   -19 |    31 |    17
426 |    31 |   -13 |    17 |    20
427 |    31 |    -4 |    31 |     6
428 |    -2 |   -17 |     0 |    13
429 |     9 |   -17 |    26 |    30
42A |    -5 |     4 |     1 |   -22
42B |     8 |     0 |    -6 |     2
42C |    10 |   -24 |     3 |     4
42D |     5 |    -9 |    21 |    -9
42E |     7 |   -17 |     1 |     6
42F |    21 |   -32 |    -5 |    13
430 |    27 |     2 |   -32 |     7
431 |     7 |    -2 |    -1 |    -2
432 |    -5 |   -11 |   -12 |    -7
433 |     7 |     2 |    10 |     7
434 |   -16 |   -22 |    -6 |     9
435 |     1 |   -13 |    -1 |    -4
436 |   -12 |   -19 |     3 |   -15
437 |    10 |    24 |    14 |     9
438 |     5 |   -24 |    -3 |    31
439 |    -6 |   -30 |   -24 |    13
43A |    -9 |   -26 |   -32 |     9
43B |    11 |   -32 |     0 |    24
43C |     9 |   -24 |    -7 |    17
43D |    24 |   -24 |    -2 |    22
43E |   -20 |   -15 |   -32 |     4
43F |    22 |   -19 |   -28 |    19
440 |   -26 |   -32 |   -22 |    26
441 |    31 |   -13 |    11 |    13
442 |    -9 |    -4 |     2 |    11
443 |    19 |   -20 |     7 |     7
444 |    -2 |   -32 |   -20 |    28
445 |    -9 |    -7 |   -19 |    31
446 |   -13 |   -19 |   -30 |     6
447 |   -19 |   -32 |   -26 |    20
448 |   -22 |    -1 |     7 |    -1
449 |   -32 |    12 |   -31 |   -16
44A |   -13 |    31 |   -12 |   -10
44B |   -13 |    31 |   -25 |   -12
44C |   -13 |    21 |   -14 |     1
44D |     0 |    21 |    -3 |   -19
44E |     0 |    12 |   -14 |   -12
44F |     7 |    31 |    -5 |   -32
450 |    11 |    31 |   -16 |   -10
451 |   -26 |   -10 |    -8 |   -31
452 |     4 |    21 |     3 |    -3
453 |    -9 |    14 |   -25 |   -27
454 |     0 |    21 |     1 |    -3
455 |   -32 |   -12 |   -21 |     1
456 |    -6 |    -6 |    16 |   -25
457 |    27 |   -17 |   -12 |   -32
458 |   -10 |    20 |     8 |   -12
459 |    20 |    28 |    21 |   -12
45A |   -25 |    26 |    20 |    -3
45B |   -18 |    19 |   -10 |    -1
45C |    21 |    11 |    -5 |   -10
45D |    -3 |    24 |    14 |    10
45E |    21 |    17 |     8 |    -6
45F |    12 |    31 |     1 |    -8
460 |    20 |    11 |    -6 |   -12
461 |     8 |     0 |    -6 |     5
462 |    18 |    31 |    23 |   -21
463 |    16 |    -6 |    25 |   -32
464 |   -12 |    -7 |    27 |   -21
465 |   -10 |    13 |     5 |   -18
466 |    -4 |    31 |     1 |    27
467 |     6 |    27 |   -12 |    12
468 |     9 |    10 |    12 |    25
469 |   -17 |    14 |   -12 |    31
46A |    22 |    12 |   -32 |    20
46B |   -13 |    29 |    20 |    21
46C |     4 |    27 |    18 |    14
46D |   -13 |    12 |     3 |    20
46E |    13 |    21 |   -32 |    31
46F |   -13 |    25 |   -21 |    27
470 |     4 |    31 |   -23 |    21
471 |     0 |   -10 |   -16 |    -1
472 |   -11 |    23 |   -16 |    27
473 |     0 |    16 |   -27 |    14
474 |    -6 |     8 |   -12 |    31
475 |     1 |    -4 |   -12 |   -23
476 |   -29 |     6 |    18 |   -16
477 |     8 |     7 |    -1 |   -27
478 |    12 |    -9 |     5 |   -21
479 |   -16 |     0 |   -10 |   -25
47A |   -25 |    11 |   -25 |   -23
47B |   -19 |   -13 |   -12 |   -12
47C |     1 |    13 |    12 |   -23
47D |   -19 |    30 |   -18 |    20
47E |    18 |    13 |   -32 |    -5
47F |   -32 |   -13 |   -29 |   -25
480 |    14 |     9 |   -25 |    -8
481 |   -32 |     0 |     5 |    -3
482 |    -8 |    11 |     1 |     3
483 |     3 |     0 |   -32 |   -21
484 |     7 |    15 |    13 |    11
485 |    -2 |    31 |   -15 |   -32
486 |    15 |     2 |    -4 |     9
487 |   -13 |   -32 |    30 |   -32
488 |    19 |    15 |    -2 |   -32
489 |     2 |   -17 |    26 |    26
48A |    22 |    15 |    31 |   -11
48B |    26 |    31 |   -28 |     0
48C |    26 |   -20 |   -32 |    22
48D |    24 |    31 |    19 |    24
48E |    -9 |    15 |    22 |    30
48F |     6 |    26 |     0 |   -32
490 |    30 |     0 |    -2 |     7
491 |    -9 |    19 |    15 |    -4
492 |    20 |   -32 |   -11 |    31
493 |   -10 |    19 |    27 |   -19
494 |     5 |   -11 |   -12 |     3
495 |   -14 |    -4 |    27 |    27
496 |     3 |    -6 |    -3 |    -1
497 |     8 |    26 |     1 |    14
498 |    20 |    13 |    -3 |    31
499 |    -6 |     7 |    31 |    -8
49A |    14 |     9 |    31 |    12
49B |    20 |    13 |     3 |    -3
49C |    31 |    -6 |     3 |     1
49D |    -3 |    31 |    -3 |    -6
49E |    10 |    17 |    12 |    10
49F |    31 |    28 |   -32 |    27
4A0 |    14 |    26 |    27 |    14
4A1 |    14 |    31 |     8 |   -32
4A2 |    17 |     8 |    18 |   -32
4A3 |    31 |   -16 |   -10 |    31
4A4 |    13 |    23 |    18 |   -27
4A5 |    11 |    10 |    23 |   -16
4A6 |    31 |    31 |    14 |   -32
4A7 |    26 |    23 |    23 |   -14
4A8 |    26 |    18 |    25 |   -14
4A9 |    31 |    -1 |    23 |   -29
4AA |    15 |    12 |    25 |   -16
4AB |    11 |    -1 |    21 |   -14
4AC |    26 |    18 |    21 |   -10
4AD |     9 |     8 |    20 |     8
4AE |     7 |    12 |     8 |   -25
4AF |     9 |     7 |    23 |   -19
4B0 |    28 |   -14 |    14 |   -27
4B1 |    -7 |    14 |   -18 |     0
4B2 |    22 |     7 |   -19 |    -2
4B3 |    22 |     1 |   -31 |    17
4B4 |    26 |    14 |    14 |    26
4B5 |    -2 |    10 |     8 |     0
4B6 |   -11 |    31 |   -32 |    13
4B7 |    20 |   -32 |   -18 |     2
4B8 |    20 |    -5 |   -10 |    13
4B9 |    17 |    31 |     1 |    31
4BA |     0 |    18 |    10 |    13
4BB |    15 |    12 |     5 |    -7
4BC |    26 |    -3 |    -8 |   -13
4BD |    15 |   -16 |     1 |   -13
4BE |    26 |   -25 |    -8 |   -11
4BF |    19 |   -14 |   -12 |    31
4C0 |     1 |    20 |    -1 |    19
4C1 |    -8 |    20 |     5 |    -6
4C2 |   -21 |    31 |    12 |   -11
4C3 |    -1 |   -12 |     7 |   -32
4C4 |   -19 |    29 |    23 |   -26
4C5 |    16 |    10 |     5 |    15
4C6 |   -32 |    10 |    31 |     0
4C7 |     1 |    12 |    16 |    11
4C8 |   -12 |    18 |    12 |    -4
4C9 |    18 |    16 |   -16 |    -6
4CA |   -23 |     7 |    31 |    17
4CB |    -3 |   -18 |    -8 |   -32
4CC |    23 |    14 |     1 |    -4
4CD |   -12 |   -32 |    29 |   -32
4CE |    -5 |     8 |    31 |    31
4CF |    -1 |    27 |     0 |   -17
4D0 |    10 |    -1 |     0 |    13
4D1 |    16 |   -14 |    -6 |   -17
4D2 |    25 |   -19 |   -19 |   -20
4D3 |    -8 |   -14 |    -6 |    -2
4D4 |    -5 |    -1 |    -4 |     6
4D5 |    12 |   -12 |    -6 |   -20
4D6 |     5 |    -1 |    15 |    13
4D7 |     1 |   -19 |   -24 |   -32
4D8 |     5 |    12 |     2 |    24
4D9 |    -5 |   -29 |     6 |    -4
4DA |     1 |   -12 |    31 |   -17
4DB |    31 |   -10 |    -7 |     9
4DC |    21 |    -1 |    31 |    -6
4DD |     7 |    14 |     7 |   -26
4DE |    -3 |     7 |   -14 |     7
4DF |     5 |     8 |    -3 |     0
4E0 |    31 |   -18 |    -8 |     4
4E1 |    -3 |    -5 |    -3 |     0
4E2 |   -32 |    14 |    31 |   -30
4E3 |   -16 |   -32 |   -10 |     0
4E4 |    12 |    10 |   -25 |    -7
4E5 |    -5 |   -12 |     7 |   -20
4E6 |     8 |    -5 |     3 |     9
4E7 |    -6 |    -8 |     1 |    13
4E8 |    14 |    -1 |   -19 |     0
4E9 |     3 |    10 |    -8 |    11
4EA |   -23 |   -32 |    23 |    30
4EB |   -10 |    -8 |     7 |   -32
4EC |    16 |    20 |   -12 |    -6
4ED |    -3 |   -25 |    22 |    -3
4EE |    10 |   -25 |    -4 |   -19
4EF |    10 |   -12 |    19 |   -32
4F0 |    12 |   -18 |     2 |   -12
4F1 |    12 |    -8 |     0 |    27
4F2 |    -8 |    -3 |   -13 |    18
4F3 |   -10 |    -1 |    15 |   -12
4F4 |     1 |   -10 |     7 |    14
4F5 |     5 |    12 |   -13 |   -21
4F6 |    14 |   -27 |     9 |   -14
4F7 |    -3 |    -3 |    22 |    -3
4F8 |   -27 |   -23 |    31 |    14
4F9 |   -10 |   -32 |    26 |   -31
4FA |     7 |   -12 |    -6 |   -10
4FB |   -14 |     8 |    13 |    -6
4FC |   -13 |    31 |     0 |     0
4FD |   -32 |    25 |    28 |    11
4FE |   -13 |    -1 |    31 |     4
4FF |     2 |    10 |    31 |   -28
500 |   -32 |    25 |     4 |    -2
501 |    17 |    16 |     7 |   -11
502 |   -19 |    31 |    26 |    -9
503 |    11 |    27 |    11 |    30
504 |     6 |    20 |     7 |    -4
505 |     0 |    18 |    13 |     0
506 |   -15 |    31 |    13 |     7
507 |    -2 |    20 |    30 |    -6
508 |    -4 |    31 |    31 |   -13
509 |   -13 |    27 |    19 |     9
50A |     7 |    18 |     0 |     2
50B |    -7 |   -26 |   -16 |     8
50C |    11 |     2 |    21 |    27
50D |   -13 |    -9 |    31 |    12
50E |    -4 |     2 |    23 |    27
50F |    -7 |    -4 |    31 |    27
510 |   -28 |    11 |    31 |    27
511 |   -32 |    11 |    31 |     7
512 |   -22 |    -7 |    31 |    31
513 |    -7 |    -7 |    27 |    25
514 |   -13 |     0 |    10 |    14
515 |    -6 |   -13 |     7 |    -1
516 |    -4 |   -22 |    16 |     8
517 |    -6 |    -9 |     1 |    20
518 |     0 |    -6 |     7 |   -14
519 |     2 |     4 |    -6 |    31
51A |    -2 |   -14 |     1 |    31
51B |     2 |    31 |    14 |    31
51C |    26 |    -5 |    10 |    13
51D |    -2 |    23 |     3 |   -32
51E |     4 |    31 |    -8 |   -26
51F |   -26 |    20 |   -23 |    -2
520 |    -4 |     7 |    31 |   -17
521 |   -32 |    25 |   -32 |    -4
522 |     7 |    25 |    20 |     4
523 |    -7 |   -14 |   -12 |   -32
524 |    22 |    18 |   -14 |   -11
525 |   -19 |   -12 |   -14 |    30
526 |    19 |     8 |   -23 |    -4
527 |     4 |    12 |     1 |   -19
528 |     6 |    14 |    -1 |    -4
529 |     5 |     7 |   -24 |    -8
52A |    -6 |    13 |    15 |     1
52B |   -19 |    13 |     7 |     8
52C |     1 |    15 |     0 |    14
52D |   -19 |     6 |    13 |    14
52E |    -3 |     4 |     6 |   -18
52F |   -14 |    -7 |     4 |     1
530 |   -29 |   -32 |    -6 |    27
531 |   -32 |     2 |     9 |    -5
532 |    -3 |   -19 |    17 |   -23
533 |    -1 |   -15 |     7 |   -21
534 |   -18 |    24 |    26 |   -27
535 |   -23 |    31 |    22 |   -29
536 |    -8 |     2 |     4 |   -10
537 |    12 |   -19 |    31 |     1
538 |    12 |    17 |    -6 |   -14
539 |    14 |    13 |     4 |   -32
53A |    16 |    31 |    31 |   -32
53B |     3 |   -20 |     4 |    14
53C |    12 |   -30 |    13 |   -32
53D |    29 |     2 |    11 |   -32
53E |    14 |    31 |    24 |    25
53F |    14 |    11 |     0 |     3
540 |    21 |    11 |    31 |   -21
541 |    12 |     4 |     6 |   -16
542 |    10 |     4 |    15 |    -6
543 |    31 |     0 |     2 |    -8
544 |     3 |     0 |     0 |    -5
545 |    -1 |   -11 |    24 |    14
546 |    14 |    15 |    31 |    12
547 |    11 |   -12 |   -12 |    -8
548 |     2 |    -1 |   -10 |    -5
549 |   -32 |     1 |   -32 |   -31
54A |     7 |    23 |    -6 |     1
54B |     9 |    -1 |    10 |   -19
54C |     2 |    -6 |    -1 |   -25
54D |   -20 |    21 |   -18 |    14
54E |    13 |    -8 |   -10 |    -3
54F |     7 |   -32 |   -27 |   -32
550 |    31 |   -32 |   -10 |    23
551 |    31 |   -12 |     1 |    -6
552 |    -9 |     3 |    -3 |     7
553 |   -13 |   -19 |   -14 |   -32
554 |   -24 |     1 |   -32 |    -1
555 |    -7 |    31 |    -6 |     7
556 |     1 |    15 |    31 |    15
557 |   -29 |   -20 |    27 |   -13
558 |     3 |     9 |    29 |    31
559 |   -32 |   -15 |    31 |    26
55A |    31 |     0 |    31 |    30
55B |    31 |    13 |     5 |    15
55C |   -16 |    24 |    31 |   -22
55D |     3 |    17 |    20 |     0
