ROW | EXT_1 | EXT_2
99C |     0 |     3
99E |    12 |    -3
9A0 |    -8 |     6
9A2 |     3 |     8
9A4 |    -2 |     5
9A6 |    -6 |    -9
9A8 |   -12 |    13
9AA |   -12 |    18
9AC |    16 |   -17
9AE |    22 |    14
9B0 |    26 |    15
9B2 |    14 |    20
9B4 |   -12 |   -13
9B6 |    12 |   -14
9B8 |    15 |    18
9BA |    13 |    14
9BC |    -6 |     9
9BE |    -5 |     5
9C0 |     7 |     4
9C2 |     2 |    -6
9C4 |     4 |    10
9C6 |    -3 |     1
9C8 |     6 |     1
9CA |    -7 |    -6
9CC |    -6 |     1
9CE |    -4 |    -6
9D0 |    10 |    -6
9D2 |    11 |    -4
9D4 |    -7 |    -6
9D6 |    -6 |    -6
9D8 |    12 |     9
9DA |     8 |    13
9DC |    12 |    -9
9DE |   -12 |    11
9E0 |   -17 |    11
9E2 |   -12 |     8
9E4 |    13 |    14
9E6 |    15 |   -17
9E8 |   -17 |    19
9EA |    24 |    15
9EC |    20 |   -19
9EE |    13 |     7
9F0 |   -12 |     0
9F2 |    -6 |     3
9F4 |     1 |    15
9F6 |     1 |     7
9F8 |    -2 |    -7
9FA |    -6 |    -9
9FC |     0 |    -3
9FE |    -5 |     6
A00 |     0 |    -6
A02 |     2 |    -1
A04 |     8 |     6
A06 |    -1 |     9
A08 |     1 |     4
A0A |    -6 |     1
A0C |    -6 |     1
A0E |     4 |     2
A10 |     1 |     0
A12 |    -2 |     4
A14 |     0 |    -5
A16 |     1 |     0
A18 |     1 |     0
A1A |     1 |     0
A1C |     0 |     2
A1E |     0 |     2
A20 |     5 |     6
A22 |     8 |    11
A24 |     9 |    -6
A26 |    10 |    -5
A28 |    -6 |    -7
A2A |     8 |    -6
A2C |    -8 |     7
A2E |     8 |    11
A30 |    -6 |    -6
A32 |    -1 |    -6
A34 |    10 |    -8
A36 |    -6 |     7
A38 |    -7 |    -6
A3A |    13 |    -4
A3C |     5 |    -2
A3E |     0 |     0
A40 |    -5 |     0
A42 |     7 |    -3
A44 |    -2 |     1
A46 |    -3 |     1
A48 |     3 |    -1
A4A |     3 |     4
A4C |     0 |    -1
A4E |    -1 |     1
A50 |     0 |     1
A52 |     1 |     0
A54 |     0 |    -2
A56 |     4 |    -1
A58 |     2 |    -2
A5A |     2 |     3
A5C |    -3 |     0
A5E |    -1 |     1
A60 |     4 |     2
A62 |     2 |     3
A64 |     1 |     2
A66 |     0 |     5
A68 |    -1 |     1
A6A |     7 |     1
A6C |    -4 |    -3
A6E |     4 |    -1
A70 |    -1 |    -4
A72 |     0 |     1
A74 |    -8 |     1
A76 |    -2 |    -4
A78 |     0 |    -1
A7A |     6 |    -8
A7C |     7 |    -3
A7E |     0 |    -6
A80 |    -1 |    -1
A82 |     6 |     7
A84 |     7 |     7
A86 |    -6 |     4
A88 |    -9 |     4
A8A |     3 |    -3
A8C |     4 |     0
A8E |     5 |    -6
A90 |    -2 |     3
A92 |     5 |     7
A94 |     7 |     5
A96 |    14 |     5
A98 |     9 |   -11
A9A |     5 |     7
A9C |     7 |     7
A9E |    -4 |    -5
AA0 |    -6 |    -6
AA2 |    -4 |    14
AA4 |    -4 |    -1
AA6 |    13 |    -7
AA8 |    14 |   -12
AAA |    -9 |   -11
AAC |    -2 |     7
AAE |    -5 |    -1
AB0 |     7 |    -7
AB2 |    -6 |    -7
AB4 |     7 |     3
AB6 |     1 |     1
AB8 |     5 |     0
ABA |     3 |     0
ABC |     3 |     7
ABE |     0 |     0
AC0 |     1 |     1
AC2 |     1 |     0
AC4 |    -3 |    -3
AC6 |     4 |    -4
AC8 |     4 |     5
ACA |     1 |    -1
ACC |    -1 |    -1
ACE |     5 |     8
AD0 |     1 |    -4
AD2 |    -6 |    -6
AD4 |    -5 |     9
AD6 |     9 |     7
AD8 |    11 |    -6
ADA |    -2 |    10
ADC |    -4 |    11
ADE |    -8 |     7
AE0 |   -10 |    -3
AE2 |   -13 |     0
AE4 |     1 |    -3
AE6 |     6 |    -6
AE8 |     9 |     7
AEA |    -7 |    13
AEC |    15 |    -7
AEE |    -4 |     9
AF0 |    -3 |     6
AF2 |    -9 |     4
AF4 |     6 |    -2
AF6 |     7 |    -2
AF8 |     8 |     4
AFA |     1 |     7
AFC |    -4 |     5
AFE |    -5 |    -2
B00 |     7 |    -4
B02 |     1 |    -3
B04 |    -8 |     1
B06 |     1 |    11
B08 |     0 |     6
B0A |    -1 |     0
B0C |     1 |     2
B0E |     0 |    -6
B10 |    -4 |     6
B12 |     5 |    -5
B14 |     7 |     6
B16 |    10 |    10
B18 |     8 |   -11
B1A |    -9 |    10
B1C |     7 |    -6
B1E |    14 |     6
B20 |    -5 |     8
B22 |     9 |    -3
B24 |    -6 |     7
B26 |     3 |     7
B28 |     0 |   -10
B2A |     8 |    -3
B2C |     4 |    -5
B2E |     0 |     6
B30 |     0 |     5
B32 |     3 |    -2
B34 |     8 |     0
B36 |     6 |     2
B38 |     3 |     1
B3A |     1 |     3
B3C |     0 |     1
B3E |    -1 |     0
B40 |    -4 |     5
B42 |     7 |    10
B44 |    10 |    10
B46 |     6 |     9
B48 |    -3 |    10
B4A |   -12 |     4
B4C |   -10 |    12
B4E |     2 |    13
B50 |     0 |     9
B52 |     1 |     1
B54 |    11 |    13
B56 |     1 |    -9
B58 |     8 |     8
B5A |     8 |    14
B5C |     6 |   -12
B5E |     6 |    12
B60 |    12 |     8
B62 |    -1 |    -4
B64 |     9 |    -4
B66 |    -6 |    -5
B68 |    -5 |    -3
B6A |    -8 |     3
B6C |     4 |    -3
B6E |     5 |     9
B70 |     1 |     4
B72 |     0 |     5
B74 |     4 |    -2
B76 |    -1 |     1
B78 |    -1 |     1
B7A |     0 |     0
B7C |     1 |     2
B7E |     8 |     2
B80 |    -1 |    -6
B82 |    -6 |    -2
B84 |    -5 |     0
B86 |    -1 |    -6
B88 |     4 |    -3
B8A |     6 |     4
B8C |     0 |     7
B8E |     0 |     2
B90 |   -12 |    -4
B92 |     6 |    -7
B94 |    10 |    -8
B96 |   -13 |    11
B98 |    -7 |    -2
B9A |    14 |    -7
B9C |    -9 |     9
B9E |   -10 |   -10
BA0 |    -7 |    14
BA2 |     7 |    -5
BA4 |     8 |     3
BA6 |     7 |    11
BA8 |     3 |     7
BAA |    14 |     7
BAC |    -6 |     9
BAE |    -4 |    -7
BB0 |     0 |    -4
BB2 |    -1 |    -2
BB4 |     1 |     6
BB6 |     3 |     1
BB8 |     3 |    -2
BBA |     1 |    -2
BBC |     1 |     0
BBE |     2 |     6
BC0 |    -4 |    -2
BC2 |    10 |    -1
BC4 |     7 |     7
BC6 |     6 |     0
BC8 |     0 |     5
BCA |    -3 |    -2
BCC |     0 |    -5
BCE |    -4 |    -2
BD0 |     0 |     4
BD2 |    -3 |     7
BD4 |    -4 |    -8
BD6 |    12 |    -8
BD8 |   -14 |    -7
BDA |     8 |    -6
BDC |    11 |     9
BDE |    -1 |    -7
BE0 |    -4 |    -4
BE2 |    -4 |    -3
BE4 |    -5 |     0
BE6 |     5 |    -8
BE8 |    -2 |     7
BEA |    -8 |    -8
BEC |    -6 |     5
BEE |   -12 |    -6
BF0 |    -2 |    -4
BF2 |     0 |    -9
BF4 |   -10 |    -4
BF6 |    -5 |     6
BF8 |    -6 |     8
BFA |     0 |    -8
BFC |     7 |    14
BFE |     7 |    13
