ADDR | HEX  |       BINARY       | UNSIGNED |  S10 |  S12 |  S16
2D3  | 0BB9 | 0000_1011_1011_1001 |     3001 |  -71 | -1095 | 3001
2D4  | 079F | 0000_0111_1001_1111 |     1951 |  -97 | 1951 | 1951
2D5  | 0340 | 0000_0011_0100_0000 |      832 | -192 |  832 |  832
2D6  | 073F | 0000_0111_0011_1111 |     1855 | -193 | 1855 | 1855
2D7  | 0466 | 0000_0100_0110_0110 |     1126 |  102 | 1126 | 1126
2D8  | 0BFD | 0000_1011_1111_1101 |     3069 |   -3 | -1027 | 3069
2D9  | 7FC4 | 0111_1111_1100_0100 |    32708 |  -60 |  -60 | 32708
2DA  | 04F9 | 0000_0100_1111_1001 |     1273 |  249 | 1273 | 1273
2DB  | 08FF | 0000_1000_1111_1111 |     2303 |  255 | -1793 | 2303
2DC  | 7F45 | 0111_1111_0100_0101 |    32581 | -187 | -187 | 32581
2DD  | 001F | 0000_0000_0001_1111 |       31 |   31 |   31 |   31
2DE  | 0061 | 0000_0000_0110_0001 |       97 |   97 |   97 |   97
2DF  | 7B9B | 0111_1011_1001_1011 |    31643 | -101 | -1125 | 31643
2E0  | 0801 | 0000_1000_0000_0001 |     2049 |    1 | -2047 | 2049
2E1  | 7CE6 | 0111_1100_1110_0110 |    31974 |  230 | -794 | 31974
2E2  | 07F9 | 0000_0111_1111_1001 |     2041 |   -7 | 2041 | 2041
2E3  | 03B9 | 0000_0011_1011_1001 |      953 |  -71 |  953 |  953
2E4  | 7C46 | 0111_1100_0100_0110 |    31814 |   70 | -954 | 31814
2E5  | 085C | 0000_1000_0101_1100 |     2140 |   92 | -1956 | 2140
2E6  | 7881 | 0111_1000_1000_0001 |    30849 |  129 | -1919 | 30849
2E7  | 001E | 0000_0000_0001_1110 |       30 |   30 |   30 |   30
2E8  | 7CC5 | 0111_1100_1100_0101 |    31941 |  197 | -827 | 31941
2E9  | 7C23 | 0111_1100_0010_0011 |    31779 |   35 | -989 | 31779
2EA  | 7FBB | 0111_1111_1011_1011 |    32699 |  -69 |  -69 | 32699
2EB  | 0859 | 0000_1000_0101_1001 |     2137 |   89 | -1959 | 2137
2EC  | 0BBC | 0000_1011_1011_1100 |     3004 |  -68 | -1092 | 3004
2ED  | 0B44 | 0000_1011_0100_0100 |     2884 | -188 | -1212 | 2884
2EE  | 07A5 | 0000_0111_1010_0101 |     1957 |  -91 | 1957 | 1957
2EF  | 7F61 | 0111_1111_0110_0001 |    32609 | -159 | -159 | 32609
2F0  | 03FB | 0000_0011_1111_1011 |     1019 |   -5 | 1019 | 1019
2F1  | 0844 | 0000_1000_0100_0100 |     2116 |   68 | -1980 | 2116
2F2  | 0BA1 | 0000_1011_1010_0001 |     2977 |  -95 | -1119 | 2977
2F3  | 7C1F | 0111_1100_0001_1111 |    31775 |   31 | -993 | 31775
2F4  | 0B24 | 0000_1011_0010_0100 |     2852 | -220 | -1244 | 2852
2F5  | 0766 | 0000_0111_0110_0110 |     1894 | -154 | 1894 | 1894
2F6  | 0767 | 0000_0111_0110_0111 |     1895 | -153 | 1895 | 1895
2F7  | 083C | 0000_1000_0011_1100 |     2108 |   60 | -1988 | 2108
2F8  | 7FBB | 0111_1111_1011_1011 |    32699 |  -69 |  -69 | 32699
2F9  | 7C82 | 0111_1100_1000_0010 |    31874 |  130 | -894 | 31874
2FA  | 7C27 | 0111_1100_0010_0111 |    31783 |   39 | -985 | 31783
2FB  | 78BD | 0111_1000_1011_1101 |    30909 |  189 | -1859 | 30909
2FC  | 083D | 0000_1000_0011_1101 |     2109 |   61 | -1987 | 2109
2FD  | 7F3B | 0111_1111_0011_1011 |    32571 | -197 | -197 | 32571
2FE  | 0744 | 0000_0111_0100_0100 |     1860 | -188 | 1860 | 1860
2FF  | 03A1 | 0000_0011_1010_0001 |      929 |  -95 |  929 |  929
300  | 039C | 0000_0011_1001_1100 |      924 | -100 |  924 |  924
301  | 7CE3 | 0111_1100_1110_0011 |    31971 |  227 | -797 | 31971
302  | 005D | 0000_0000_0101_1101 |       93 |   93 |   93 |   93
303  | 003C | 0000_0000_0011_1100 |       60 |   60 |   60 |   60
304  | 7BFD | 0111_1011_1111_1101 |    31741 |   -3 | -1027 | 31741
305  | 07DF | 0000_0111_1101_1111 |     2015 |  -33 | 2015 | 2015
306  | 07E1 | 0000_0111_1110_0001 |     2017 |  -31 | 2017 | 2017
307  | 7B3F | 0111_1011_0011_1111 |    31551 | -193 | -1217 | 31551
308  | 7B25 | 0111_1011_0010_0101 |    31525 | -219 | -1243 | 31525
309  | 001D | 0000_0000_0001_1101 |       29 |   29 |   29 |   29
30A  | 08A2 | 0000_1000_1010_0010 |     2210 |  162 | -1886 | 2210
30B  | 00A2 | 0000_0000_1010_0010 |      162 |  162 |  162 |  162
30C  | 7B5F | 0111_1011_0101_1111 |    31583 | -161 | -1185 | 31583
30D  | 0486 | 0000_0100_1000_0110 |     1158 |  134 | 1158 | 1158
30E  | 0047 | 0000_0000_0100_0111 |       71 |   71 |   71 |   71
30F  | 0862 | 0000_1000_0110_0010 |     2146 |   98 | -1950 | 2146
310  | 003D | 0000_0000_0011_1101 |       61 |   61 |   61 |   61
311  | 7FFB | 0111_1111_1111_1011 |    32763 |   -5 |   -5 | 32763
312  | 03DF | 0000_0011_1101_1111 |      991 |  -33 |  991 |  991
313  | 7B25 | 0111_1011_0010_0101 |    31525 | -219 | -1243 | 31525
314  | 0723 | 0000_0111_0010_0011 |     1827 | -221 | 1827 | 1827
315  | 0743 | 0000_0111_0100_0011 |     1859 | -189 | 1859 | 1859
316  | 7BDA | 0111_1011_1101_1010 |    31706 |  -38 | -1062 | 31706
317  | 7CC7 | 0111_1100_1100_0111 |    31943 |  199 | -825 | 31943
318  | 7BC4 | 0111_1011_1100_0100 |    31684 |  -60 | -1084 | 31684
319  | 0341 | 0000_0011_0100_0001 |      833 | -191 |  833 |  833
31A  | 7B22 | 0111_1011_0010_0010 |    31522 | -222 | -1246 | 31522
31B  | 7842 | 0111_1000_0100_0010 |    30786 |   66 | -1982 | 30786
31C  | 7FA4 | 0111_1111_1010_0100 |    32676 |  -92 |  -92 | 32676
31D  | 03B9 | 0000_0011_1011_1001 |      953 |  -71 |  953 |  953
31E  | 0B45 | 0000_1011_0100_0101 |     2885 | -187 | -1211 | 2885
31F  | 0BDE | 0000_1011_1101_1110 |     3038 |  -34 | -1058 | 3038
320  | 043F | 0000_0100_0011_1111 |     1087 |   63 | 1087 | 1087
321  | 7B46 | 0111_1011_0100_0110 |    31558 | -186 | -1210 | 31558
322  | 0445 | 0000_0100_0100_0101 |     1093 |   69 | 1093 | 1093
323  | 7F40 | 0111_1111_0100_0000 |    32576 | -192 | -192 | 32576
324  | 0B62 | 0000_1011_0110_0010 |     2914 | -158 | -1182 | 2914
325  | 78A1 | 0111_1000_1010_0001 |    30881 |  161 | -1887 | 30881
326  | 7FFA | 0111_1111_1111_1010 |    32762 |   -6 |   -6 | 32762
327  | 7FC3 | 0111_1111_1100_0011 |    32707 |  -61 |  -61 | 32707
328  | 7882 | 0111_1000_1000_0010 |    30850 |  130 | -1918 | 30850
329  | 7C1A | 0111_1100_0001_1010 |    31770 |   26 | -998 | 31770
32A  | 78FD | 0111_1000_1111_1101 |    30973 |  253 | -1795 | 30973
32B  | 7805 | 0111_1000_0000_0101 |    30725 |    5 | -2043 | 30725
32C  | 03DD | 0000_0011_1101_1101 |      989 |  -35 |  989 |  989
32D  | 049E | 0000_0100_1001_1110 |     1182 |  158 | 1182 | 1182
32E  | 7C7B | 0111_1100_0111_1011 |    31867 |  123 | -901 | 31867
32F  | 7C40 | 0111_1100_0100_0000 |    31808 |   64 | -960 | 31808
330  | 0365 | 0000_0011_0110_0101 |      869 | -155 |  869 |  869
331  | 0379 | 0000_0011_0111_1001 |      889 | -135 |  889 |  889
332  | 00FE | 0000_0000_1111_1110 |      254 |  254 |  254 |  254
333  | 0B3C | 0000_1011_0011_1100 |     2876 | -196 | -1220 | 2876
334  | 0BF9 | 0000_1011_1111_1001 |     3065 |   -7 | -1031 | 3065
335  | 0BA7 | 0000_1011_1010_0111 |     2983 |  -89 | -1113 | 2983
336  | 7B9F | 0111_1011_1001_1111 |    31647 |  -97 | -1121 | 31647
337  | 7C41 | 0111_1100_0100_0001 |    31809 |   65 | -959 | 31809
338  | 04E5 | 0000_0100_1110_0101 |     1253 |  229 | 1253 | 1253
339  | 7B9C | 0111_1011_1001_1100 |    31644 | -100 | -1124 | 31644
33A  | 7CDC | 0111_1100_1101_1100 |    31964 |  220 | -804 | 31964
33B  | 7F9E | 0111_1111_1001_1110 |    32670 |  -98 |  -98 | 32670
33C  | 03C4 | 0000_0011_1100_0100 |      964 |  -60 |  964 |  964
33D  | 00E7 | 0000_0000_1110_0111 |      231 |  231 |  231 |  231
33E  | 781B | 0111_1000_0001_1011 |    30747 |   27 | -2021 | 30747
33F  | 0005 | 0000_0000_0000_0101 |        5 |    5 |    5 |    5
340  | 7FA4 | 0111_1111_1010_0100 |    32676 |  -92 |  -92 | 32676
341  | 00FE | 0000_0000_1111_1110 |      254 |  254 |  254 |  254
342  | 0BDF | 0000_1011_1101_1111 |     3039 |  -33 | -1057 | 3039
343  | 0383 | 0000_0011_1000_0011 |      899 | -125 |  899 |  899
344  | 7C82 | 0111_1100_1000_0010 |    31874 |  130 | -894 | 31874
345  | 78C2 | 0111_1000_1100_0010 |    30914 |  194 | -1854 | 30914
346  | 047B | 0000_0100_0111_1011 |     1147 |  123 | 1147 | 1147
347  | 00BF | 0000_0000_1011_1111 |      191 |  191 |  191 |  191
348  | 7C26 | 0111_1100_0010_0110 |    31782 |   38 | -986 | 31782
349  | 041B | 0000_0100_0001_1011 |     1051 |   27 | 1051 | 1051
34A  | 0445 | 0000_0100_0100_0101 |     1093 |   69 | 1093 | 1093
34B  | 0885 | 0000_1000_1000_0101 |     2181 |  133 | -1915 | 2181
34C  | 045A | 0000_0100_0101_1010 |     1114 |   90 | 1114 | 1114
34D  | 7F24 | 0111_1111_0010_0100 |    32548 | -220 | -220 | 32548
34E  | 7CE6 | 0111_1100_1110_0110 |    31974 |  230 | -794 | 31974
34F  | 0342 | 0000_0011_0100_0010 |      834 | -190 |  834 |  834
350  | 003C | 0000_0000_0011_1100 |       60 |   60 |   60 |   60
351  | 0004 | 0000_0000_0000_0100 |        4 |    4 |    4 |    4
352  | 04C0 | 0000_0100_1100_0000 |     1216 |  192 | 1216 | 1216
353  | 0765 | 0000_0111_0110_0101 |     1893 | -155 | 1893 | 1893
354  | 0807 | 0000_1000_0000_0111 |     2055 |    7 | -2041 | 2055
355  | 0081 | 0000_0000_1000_0001 |      129 |  129 |  129 |  129
356  | 7B3F | 0111_1011_0011_1111 |    31551 | -193 | -1217 | 31551
357  | 0859 | 0000_1000_0101_1001 |     2137 |   89 | -1959 | 2137
358  | 7B9B | 0111_1011_1001_1011 |    31643 | -101 | -1125 | 31643
359  | 0765 | 0000_0111_0110_0101 |     1893 | -155 | 1893 | 1893
35A  | 0BC4 | 0000_1011_1100_0100 |     3012 |  -60 | -1084 | 3012
35B  | 0BE6 | 0000_1011_1110_0110 |     3046 |  -26 | -1050 | 3046
35C  | 7F81 | 0111_1111_1000_0001 |    32641 | -127 | -127 | 32641
35D  | 07E7 | 0000_0111_1110_0111 |     2023 |  -25 | 2023 | 2023
35E  | 0424 | 0000_0100_0010_0100 |     1060 |   36 | 1060 | 1060
35F  | 0879 | 0000_1000_0111_1001 |     2169 |  121 | -1927 | 2169
360  | 0741 | 0000_0111_0100_0001 |     1857 | -191 | 1857 | 1857
361  | 0860 | 0000_1000_0110_0000 |     2144 |   96 | -1952 | 2144
362  | 7F79 | 0111_1111_0111_1001 |    32633 | -135 | -135 | 32633
363  | 0BBE | 0000_1011_1011_1110 |     3006 |  -66 | -1090 | 3006
364  | 077D | 0000_0111_0111_1101 |     1917 | -131 | 1917 | 1917
365  | 047E | 0000_0100_0111_1110 |     1150 |  126 | 1150 | 1150
366  | 0802 | 0000_1000_0000_0010 |     2050 |    2 | -2046 | 2050
367  | 0884 | 0000_1000_1000_0100 |     2180 |  132 | -1916 | 2180
368  | 0845 | 0000_1000_0100_0101 |     2117 |   69 | -1979 | 2117
369  | 0005 | 0000_0000_0000_0101 |        5 |    5 |    5 |    5
36A  | 0405 | 0000_0100_0000_0101 |     1029 |    5 | 1029 | 1029
36B  | 0487 | 0000_0100_1000_0111 |     1159 |  135 | 1159 | 1159
36C  | 009D | 0000_0000_1001_1101 |      157 |  157 |  157 |  157
36D  | 083E | 0000_1000_0011_1110 |     2110 |   62 | -1986 | 2110
36E  | 7F9D | 0111_1111_1001_1101 |    32669 |  -99 |  -99 | 32669
36F  | 0BA3 | 0000_1011_1010_0011 |     2979 |  -93 | -1117 | 2979
370  | 0BA4 | 0000_1011_1010_0100 |     2980 |  -92 | -1116 | 2980
371  | 001D | 0000_0000_0001_1101 |       29 |   29 |   29 |   29
372  | 07FC | 0000_0111_1111_1100 |     2044 |   -4 | 2044 | 2044
373  | 083B | 0000_1000_0011_1011 |     2107 |   59 | -1989 | 2107
374  | 04FB | 0000_0100_1111_1011 |     1275 |  251 | 1275 | 1275
375  | 78FC | 0111_1000_1111_1100 |    30972 |  252 | -1796 | 30972
376  | 04C1 | 0000_0100_1100_0001 |     1217 |  193 | 1217 | 1217
377  | 7C1A | 0111_1100_0001_1010 |    31770 |   26 | -998 | 31770
378  | 7F47 | 0111_1111_0100_0111 |    32583 | -185 | -185 | 32583
379  | 0841 | 0000_1000_0100_0001 |     2113 |   65 | -1983 | 2113
37A  | 0499 | 0000_0100_1001_1001 |     1177 |  153 | 1177 | 1177
37B  | 0B86 | 0000_1011_1000_0110 |     2950 | -122 | -1146 | 2950
37C  | 03C7 | 0000_0011_1100_0111 |      967 |  -57 |  967 |  967
37D  | 7C87 | 0111_1100_1000_0111 |    31879 |  135 | -889 | 31879
37E  | 0B59 | 0000_1011_0101_1001 |     2905 | -167 | -1191 | 2905
37F  | 03FD | 0000_0011_1111_1101 |     1021 |   -3 | 1021 | 1021
380  | 0B7E | 0000_1011_0111_1110 |     2942 | -130 | -1154 | 2942
381  | 04BE | 0000_0100_1011_1110 |     1214 |  190 | 1214 | 1214
382  | 077B | 0000_0111_0111_1011 |     1915 | -133 | 1915 | 1915
383  | 047F | 0000_0100_0111_1111 |     1151 |  127 | 1151 | 1151
384  | 0741 | 0000_0111_0100_0001 |     1857 | -191 | 1857 | 1857
385  | 7863 | 0111_1000_0110_0011 |    30819 |   99 | -1949 | 30819
386  | 0004 | 0000_0000_0000_0100 |        4 |    4 |    4 |    4
387  | 03C2 | 0000_0011_1100_0010 |      962 |  -62 |  962 |  962
388  | 0720 | 0000_0111_0010_0000 |     1824 | -224 | 1824 | 1824
389  | 789E | 0111_1000_1001_1110 |    30878 |  158 | -1890 | 30878
38A  | 0724 | 0000_0111_0010_0100 |     1828 | -220 | 1828 | 1828
38B  | 7BE0 | 0111_1011_1110_0000 |    31712 |  -32 | -1056 | 31712
38C  | 0404 | 0000_0100_0000_0100 |     1028 |    4 | 1028 | 1028
38D  | 7FBD | 0111_1111_1011_1101 |    32701 |  -67 |  -67 | 32701
38E  | 7C80 | 0111_1100_1000_0000 |    31872 |  128 | -896 | 31872
38F  | 0862 | 0000_1000_0110_0010 |     2146 |   98 | -1950 | 2146
390  | 07A4 | 0000_0111_1010_0100 |     1956 |  -92 | 1956 | 1956
391  | 039C | 0000_0011_1001_1100 |      924 | -100 |  924 |  924
392  | 08C2 | 0000_1000_1100_0010 |     2242 |  194 | -1854 | 2242
393  | 7FC0 | 0111_1111_1100_0000 |    32704 |  -64 |  -64 | 32704
394  | 04C2 | 0000_0100_1100_0010 |     1218 |  194 | 1218 | 1218
395  | 0BC4 | 0000_1011_1100_0100 |     3012 |  -60 | -1084 | 3012
396  | 077A | 0000_0111_0111_1010 |     1914 | -134 | 1914 | 1914
397  | 7C24 | 0111_1100_0010_0100 |    31780 |   36 | -988 | 31780
398  | 0884 | 0000_1000_1000_0100 |     2180 |  132 | -1916 | 2180
399  | 7C7D | 0111_1100_0111_1101 |    31869 |  125 | -899 | 31869
39A  | 78C1 | 0111_1000_1100_0001 |    30913 |  193 | -1855 | 30913
39B  | 7FFC | 0111_1111_1111_1100 |    32764 |   -4 |   -4 | 32764
39C  | 0723 | 0000_0111_0010_0011 |     1827 | -221 | 1827 | 1827
39D  | 00FE | 0000_0000_1111_1110 |      254 |  254 |  254 |  254
39E  | 7CA7 | 0111_1100_1010_0111 |    31911 |  167 | -857 | 31911
39F  | 03F9 | 0000_0011_1111_1001 |     1017 |   -7 | 1017 | 1017
3A0  | 7BA1 | 0111_1011_1010_0001 |    31649 |  -95 | -1119 | 31649
3A1  | 0BB9 | 0000_1011_1011_1001 |     3001 |  -71 | -1095 | 3001
3A2  | 08DD | 0000_1000_1101_1101 |     2269 |  221 | -1827 | 2269
3A3  | 00BC | 0000_0000_1011_1100 |      188 |  188 |  188 |  188
3A4  | 0B45 | 0000_1011_0100_0101 |     2885 | -187 | -1211 | 2885
3A5  | 7F84 | 0111_1111_1000_0100 |    32644 | -124 | -124 | 32644
3A6  | 0085 | 0000_0000_1000_0101 |      133 |  133 |  133 |  133
3A7  | 07C5 | 0000_0111_1100_0101 |     1989 |  -59 | 1989 | 1989
3A8  | 7C46 | 0111_1100_0100_0110 |    31814 |   70 | -954 | 31814
3A9  | 7CFB | 0111_1100_1111_1011 |    31995 |  251 | -773 | 31995
3AA  | 7C65 | 0111_1100_0110_0101 |    31845 |  101 | -923 | 31845
3AB  | 07FE | 0000_0111_1111_1110 |     2046 |   -2 | 2046 | 2046
3AC  | 787A | 0111_1000_0111_1010 |    30842 |  122 | -1926 | 30842
3AD  | 0BBB | 0000_1011_1011_1011 |     3003 |  -69 | -1093 | 3003
3AE  | 003D | 0000_0000_0011_1101 |       61 |   61 |   61 |   61
3AF  | 7B67 | 0111_1011_0110_0111 |    31591 | -153 | -1177 | 31591
3B0  | 0321 | 0000_0011_0010_0001 |      801 | -223 |  801 |  801
3B1  | 0B9A | 0000_1011_1001_1010 |     2970 | -102 | -1126 | 2970
3B2  | 0422 | 0000_0100_0010_0010 |     1058 |   34 | 1058 | 1058
3B3  | 7F80 | 0111_1111_1000_0000 |    32640 | -128 | -128 | 32640
3B4  | 7F46 | 0111_1111_0100_0110 |    32582 | -186 | -186 | 32582
3B5  | 045A | 0000_0100_0101_1010 |     1114 |   90 | 1114 | 1114
3B6  | 78C3 | 0111_1000_1100_0011 |    30915 |  195 | -1853 | 30915
3B7  | 78C5 | 0111_1000_1100_0101 |    30917 |  197 | -1851 | 30917
3B8  | 03BD | 0000_0011_1011_1101 |      957 |  -67 |  957 |  957
3B9  | 077F | 0000_0111_0111_1111 |     1919 | -129 | 1919 | 1919
3BA  | 78A0 | 0111_1000_1010_0000 |    30880 |  160 | -1888 | 30880
3BB  | 0499 | 0000_0100_1001_1001 |     1177 |  153 | 1177 | 1177
3BC  | 08BE | 0000_1000_1011_1110 |     2238 |  190 | -1858 | 2238
3BD  | 7C39 | 0111_1100_0011_1001 |    31801 |   57 | -967 | 31801
3BE  | 7F9A | 0111_1111_1001_1010 |    32666 | -102 | -102 | 32666
3BF  | 7FC7 | 0111_1111_1100_0111 |    32711 |  -57 |  -57 | 32711
3C0  | 0759 | 0000_0111_0101_1001 |     1881 | -167 | 1881 | 1881
3C1  | 07C3 | 0000_0111_1100_0011 |     1987 |  -61 | 1987 | 1987
3C2  | 037D | 0000_0011_0111_1101 |      893 | -131 |  893 |  893
3C3  | 7C82 | 0111_1100_1000_0010 |    31874 |  130 | -894 | 31874
3C4  | 0087 | 0000_0000_1000_0111 |      135 |  135 |  135 |  135
3C5  | 7C21 | 0111_1100_0010_0001 |    31777 |   33 | -991 | 31777
3C6  | 007E | 0000_0000_0111_1110 |      126 |  126 |  126 |  126
3C7  | 0343 | 0000_0011_0100_0011 |      835 | -189 |  835 |  835
3C8  | 08E3 | 0000_1000_1110_0011 |     2275 |  227 | -1821 | 2275
3C9  | 0099 | 0000_0000_1001_1001 |      153 |  153 |  153 |  153
3CA  | 0485 | 0000_0100_1000_0101 |     1157 |  133 | 1157 | 1157
3CB  | 0039 | 0000_0000_0011_1001 |       57 |   57 |   57 |   57
3CC  | 7FBA | 0111_1111_1011_1010 |    32698 |  -70 |  -70 | 32698
3CD  | 0001 | 0000_0000_0000_0001 |        1 |    1 |    1 |    1
3CE  | 7B5B | 0111_1011_0101_1011 |    31579 | -165 | -1189 | 31579
3CF  | 7FC7 | 0111_1111_1100_0111 |    32711 |  -57 |  -57 | 32711
3D0  | 7B79 | 0111_1011_0111_1001 |    31609 | -135 | -1159 | 31609
3D1  | 7C9D | 0111_1100_1001_1101 |    31901 |  157 | -867 | 31901
3D2  | 049F | 0000_0100_1001_1111 |     1183 |  159 | 1183 | 1183
3D3  | 04DE | 0000_0100_1101_1110 |     1246 |  222 | 1246 | 1246
3D4  | 0444 | 0000_0100_0100_0100 |     1092 |   68 | 1092 | 1092
3D5  | 7BB9 | 0111_1011_1011_1001 |    31673 |  -71 | -1095 | 31673
3D6  | 089D | 0000_1000_1001_1101 |     2205 |  157 | -1891 | 2205
3D7  | 7C07 | 0111_1100_0000_0111 |    31751 |    7 | -1017 | 31751
3D8  | 045D | 0000_0100_0101_1101 |     1117 |   93 | 1117 | 1117
3D9  | 7CDE | 0111_1100_1101_1110 |    31966 |  222 | -802 | 31966
3DA  | 7B3B | 0111_1011_0011_1011 |    31547 | -197 | -1221 | 31547
3DB  | 0BBD | 0000_1011_1011_1101 |     3005 |  -67 | -1091 | 3005
3DC  | 7B7F | 0111_1011_0111_1111 |    31615 | -129 | -1153 | 31615
3DD  | 7F9D | 0111_1111_1001_1101 |    32669 |  -99 |  -99 | 32669
3DE  | 0B5D | 0000_1011_0101_1101 |     2909 | -163 | -1187 | 2909
3DF  | 083D | 0000_1000_0011_1101 |     2109 |   61 | -1987 | 2109
3E0  | 7B62 | 0111_1011_0110_0010 |    31586 | -158 | -1182 | 31586
3E1  | 04E2 | 0000_0100_1110_0010 |     1250 |  226 | 1250 | 1250
3E2  | 7F5B | 0111_1111_0101_1011 |    32603 | -165 | -165 | 32603
3E3  | 0059 | 0000_0000_0101_1001 |       89 |   89 |   89 |   89
3E4  | 007D | 0000_0000_0111_1101 |      125 |  125 |  125 |  125
3E5  | 7826 | 0111_1000_0010_0110 |    30758 |   38 | -2010 | 30758
3E6  | 7FE1 | 0111_1111_1110_0001 |    32737 |  -31 |  -31 | 32737
3E7  | 7FC6 | 0111_1111_1100_0110 |    32710 |  -58 |  -58 | 32710
3E8  | 7B39 | 0111_1011_0011_1001 |    31545 | -199 | -1223 | 31545
3E9  | 7FBB | 0111_1111_1011_1011 |    32699 |  -69 |  -69 | 32699
3EA  | 0485 | 0000_0100_1000_0101 |     1157 |  133 | 1157 | 1157
3EB  | 7865 | 0111_1000_0110_0101 |    30821 |  101 | -1947 | 30821
3EC  | 04DC | 0000_0100_1101_1100 |     1244 |  220 | 1244 | 1244
3ED  | 7CE6 | 0111_1100_1110_0110 |    31974 |  230 | -794 | 31974
3EE  | 7879 | 0111_1000_0111_1001 |    30841 |  121 | -1927 | 30841
3EF  | 7F79 | 0111_1111_0111_1001 |    32633 | -135 | -135 | 32633
3F0  | 7B20 | 0111_1011_0010_0000 |    31520 | -224 | -1248 | 31520
3F1  | 7F9A | 0111_1111_1001_1010 |    32666 | -102 | -102 | 32666
3F2  | 04A4 | 0000_0100_1010_0100 |     1188 |  164 | 1188 | 1188
3F3  | 0747 | 0000_0111_0100_0111 |     1863 | -185 | 1863 | 1863
3F4  | 7F40 | 0111_1111_0100_0000 |    32576 | -192 | -192 | 32576
3F5  | 7B7F | 0111_1011_0111_1111 |    31615 | -129 | -1153 | 31615
3F6  | 0002 | 0000_0000_0000_0010 |        2 |    2 |    2 |    2
3F7  | 0402 | 0000_0100_0000_0010 |     1026 |    2 | 1026 | 1026
3F8  | 049A | 0000_0100_1001_1010 |     1178 |  154 | 1178 | 1178
3F9  | 00FE | 0000_0000_1111_1110 |      254 |  254 |  254 |  254
3FA  | 7FFE | 0111_1111_1111_1110 |    32766 |   -2 |   -2 | 32766
3FB  | 7BDB | 0111_1011_1101_1011 |    31707 |  -37 | -1061 | 31707
3FC  | 7C23 | 0111_1100_0010_0011 |    31779 |   35 | -989 | 31779
3FD  | 0B9A | 0000_1011_1001_1010 |     2970 | -102 | -1126 | 2970
3FE  | 0484 | 0000_0100_1000_0100 |     1156 |  132 | 1156 | 1156
3FF  | 0B39 | 0000_1011_0011_1001 |     2873 | -199 | -1223 | 2873
400  | 041E | 0000_0100_0001_1110 |     1054 |   30 | 1054 | 1054
401  | 07E4 | 0000_0111_1110_0100 |     2020 |  -28 | 2020 | 2020
402  | 0BFD | 0000_1011_1111_1101 |     3069 |   -3 | -1027 | 3069
403  | 08E6 | 0000_1000_1110_0110 |     2278 |  230 | -1818 | 2278
404  | 7F66 | 0111_1111_0110_0110 |    32614 | -154 | -154 | 32614
405  | 0B83 | 0000_1011_1000_0011 |     2947 | -125 | -1149 | 2947
406  | 7C41 | 0111_1100_0100_0001 |    31809 |   65 | -959 | 31809
407  | 7C39 | 0111_1100_0011_1001 |    31801 |   57 | -967 | 31801
408  | 7CE7 | 0111_1100_1110_0111 |    31975 |  231 | -793 | 31975
409  | 07C7 | 0000_0111_1100_0111 |     1991 |  -57 | 1991 | 1991
40A  | 04FF | 0000_0100_1111_1111 |     1279 |  255 | 1279 | 1279
40B  | 08E7 | 0000_1000_1110_0111 |     2279 |  231 | -1817 | 2279
40C  | 07BD | 0000_0111_1011_1101 |     1981 |  -67 | 1981 | 1981
40D  | 0B7D | 0000_1011_0111_1101 |     2941 | -131 | -1155 | 2941
40E  | 0426 | 0000_0100_0010_0110 |     1062 |   38 | 1062 | 1062
40F  | 7BBA | 0111_1011_1011_1010 |    31674 |  -70 | -1094 | 31674
410  | 7BA3 | 0111_1011_1010_0011 |    31651 |  -93 | -1117 | 31651
411  | 08DB | 0000_1000_1101_1011 |     2267 |  219 | -1829 | 2267
412  | 079F | 0000_0111_1001_1111 |     1951 |  -97 | 1951 | 1951
413  | 04DE | 0000_0100_1101_1110 |     1246 |  222 | 1246 | 1246
414  | 7F84 | 0111_1111_1000_0100 |    32644 | -124 | -124 | 32644
415  | 009A | 0000_0000_1001_1010 |      154 |  154 |  154 |  154
416  | 0B3E | 0000_1011_0011_1110 |     2878 | -194 | -1218 | 2878
417  | 03FA | 0000_0011_1111_1010 |     1018 |   -6 | 1018 | 1018
418  | 003A | 0000_0000_0011_1010 |       58 |   58 |   58 |   58
419  | 0B7A | 0000_1011_0111_1010 |     2938 | -134 | -1158 | 2938
41A  | 0486 | 0000_0100_1000_0110 |     1158 |  134 | 1158 | 1158
41B  | 08A7 | 0000_1000_1010_0111 |     2215 |  167 | -1881 | 2215
41C  | 00E3 | 0000_0000_1110_0011 |      227 |  227 |  227 |  227
41D  | 075B | 0000_0111_0101_1011 |     1883 | -165 | 1883 | 1883
41E  | 7B67 | 0111_1011_0110_0111 |    31591 | -153 | -1177 | 31591
41F  | 0B3A | 0000_1011_0011_1010 |     2874 | -198 | -1222 | 2874
420  | 0BDC | 0000_1011_1101_1100 |     3036 |  -36 | -1060 | 3036
421  | 0461 | 0000_0100_0110_0001 |     1121 |   97 | 1121 | 1121
422  | 787E | 0111_1000_0111_1110 |    30846 |  126 | -1922 | 30846
423  | 7BF9 | 0111_1011_1111_1001 |    31737 |   -7 | -1031 | 31737
424  | 0460 | 0000_0100_0110_0000 |     1120 |   96 | 1120 | 1120
425  | 7C67 | 0111_1100_0110_0111 |    31847 |  103 | -921 | 31847
