ROW | EXT_1 | EXT_2
9AA |     0 |    -5
9A8 |     0 |    -5
9A6 |     0 |     1
9A4 |     4 |    -5
9A2 |     9 |     1
9A0 |    13 |    14
99E |    -2 |     1
99C |     7 |     1
9D6 |    -2 |    -8
9D4 |    -6 |    10
9D2 |    -4 |     3
9D0 |     0 |    -6
9CE |     2 |     1
9CC |    -4 |    -6
9CA |    -6 |    -1
9C8 |    -4 |     7
9C6 |     0 |    -6
9C4 |     2 |    -6
9C2 |    -6 |     3
9C0 |     0 |    -8
9BE |   -11 |     8
9BC |     6 |     5
9BA |     9 |    14
9F4 |   -12 |    -2
9F2 |    -6 |     2
9F0 |     7 |    13
9EE |    -3 |    -6
9EC |     7 |   -24
9EA |   -14 |    -7
9E8 |    12 |    -9
9E6 |     1 |   -13
9E4 |     3 |    -2
9E2 |   -18 |    -7
9E0 |    -6 |    -4
9DE |     1 |    -9
9DC |     8 |   -28
9DA |    -5 |     6
9D8 |    -1 |     6
A12 |     7 |     0
A10 |    -6 |     2
A0E |     5 |     4
A0C |     3 |    -7
A0A |     8 |     6
A08 |     1 |     6
A06 |   -10 |    24
A04 |     3 |     4
A02 |    12 |     0
A00 |     3 |     9
9FE |    12 |     7
9FC |     8 |     4
9FA |    -6 |     0
9F8 |     8 |    -6
9F6 |     3 |     0
A30 |   -11 |   -10
A2E |   -11 |     1
A2C |     4 |     1
A2A |     4 |     1
A28 |    -2 |     5
A26 |    -7 |   -12
A24 |     0 |    -5
A22 |    -6 |     1
A20 |    -2 |     1
A1E |    -2 |     1
A1C |    -4 |    -6
A1A |    -4 |    -6
A18 |    -4 |    -1
A16 |     0 |    -6
A14 |     2 |     7
A4E |     7 |     1
A4C |    -3 |    14
A4A |     5 |    -1
A48 |     7 |    -8
A46 |     8 |     5
A44 |     8 |    14
A42 |    16 |    -3
A40 |    -6 |     1
A3E |     3 |     7
A3C |    16 |    -3
A3A |    10 |    -6
A38 |     1 |     1
A36 |     1 |     1
A34 |     5 |     1
A32 |     1 |     7
A6C |    -7 |    -1
A6A |    -7 |    -5
A68 |    -2 |    14
A66 |     0 |     3
A64 |     2 |    10
A62 |     9 |    -8
A60 |    -4 |     5
A5E |    -4 |   -10
A5C |     2 |   -14
A5A |    -4 |   -10
A58 |    -7 |    10
A56 |    -9 |    16
A54 |     0 |     3
A52 |   -11 |    -5
A50 |     0 |    -1
A8A |     9 |    -3
A88 |     7 |     8
A86 |    -4 |   -12
A84 |    13 |     1
A82 |     6 |     1
A80 |    -6 |   -12
A7E |     0 |   -10
A7C |     6 |    -1
A7A |    -7 |    -8
A78 |     4 |    -5
A76 |    -4 |     1
A74 |     0 |    -5
A72 |     4 |    -1
A70 |     6 |    -6
A6E |    -7 |     1
AA8 |     4 |    -9
AA6 |    -4 |     7
AA4 |    -4 |    -2
AA2 |   -13 |     0
AA0 |   -17 |     2
A9E |    -7 |     6
A9C |    -4 |     2
A9A |     0 |     4
A98 |    -9 |    -4
A96 |   -11 |     2
A94 |    -7 |    -4
A92 |    -6 |    -2
A90 |    -7 |     6
A8E |    -7 |     7
A8C |     4 |    -6
AC6 |     6 |     2
AC4 |     7 |     6
AC2 |    19 |    11
AC0 |   -15 |   -17
ABE |    20 |   -13
ABC |    19 |     7
ABA |     9 |     0
AB8 |     0 |     4
AB6 |    13 |     0
AB4 |    11 |     9
AB2 |     0 |    -4
AB0 |    15 |    -2
AAE |     7 |     4
AAC |    -7 |    15
AAA |    -4 |     4
AE4 |     0 |     1
AE2 |    -4 |   -10
AE0 |    -7 |     1
ADE |     0 |    -3
ADC |    -2 |     1
ADA |     0 |     1
AD8 |    -7 |    -3
AD6 |   -11 |    -6
AD4 |    -2 |   -10
AD2 |    -4 |    -1
AD0 |    -2 |     3
ACE |     0 |    -6
ACC |    -7 |    -8
ACA |   -13 |   -12
AC8 |    13 |    -6
B02 |     2 |    12
B00 |    -6 |    10
AFE |    -4 |     7
AFC |    -2 |     5
AFA |    15 |    20
AF8 |   -15 |   -10
AF6 |    -6 |    -5
AF4 |     7 |    -5
AF2 |    -6 |    -6
AF0 |     4 |    20
AEE |     0 |     3
AEC |     9 |     7
AEA |     0 |     1
AE8 |    13 |    14
AE6 |     6 |    14
B20 |    10 |     1
B1E |     1 |     5
B1C |    14 |    -1
B1A |     1 |     5
B18 |     5 |    -5
B16 |    18 |    14
B14 |    14 |     7
B12 |     3 |   -12
B10 |     8 |     3
B0E |     3 |     1
B0C |     3 |    -8
B0A |    10 |    10
B08 |     1 |    -5
B06 |     8 |     5
B04 |    12 |    -5
B3E |    -7 |     5
B3C |    -4 |     5
B3A |   -11 |     8
B38 |     4 |     5
B36 |     0 |    10
B34 |     0 |     5
B32 |    -4 |     1
B30 |    -2 |     1
B2E |     6 |    16
B2C |     0 |     1
B2A |    -6 |     8
B28 |    -7 |     5
B26 |     4 |     7
B24 |     7 |    14
B22 |    -9 |    -3
B5C |    -7 |     1
B5A |     0 |     5
B58 |     9 |     7
B56 |     0 |    -5
B54 |     4 |     1
B52 |    -4 |    -6
B50 |     0 |     3
B4E |    -4 |    -3
B4C |    -9 |     3
B4A |    -9 |   -10
B48 |   -15 |     5
B46 |     4 |     5
B44 |     0 |     1
B42 |     2 |     5
B40 |     7 |    -8
B7A |     2 |    -8
B78 |     2 |    -8
B76 |     0 |    -5
B74 |    -4 |     1
B72 |    -7 |   -12
B70 |    -9 |    -5
B6E |    -2 |     1
B6C |     4 |    -6
B6A |     4 |     1
B68 |   -17 |    -8
B66 |    -7 |    -3
B64 |   -11 |   -12
B62 |     0 |    10
B60 |     9 |    -6
B5E |     7 |     1
B98 |    -6 |    -2
B96 |   -10 |     6
B94 |    -3 |    -4
B92 |    -5 |    -4
B90 |     5 |     0
B8E |     5 |   -13
B8C |    -5 |     4
B8A |     1 |     6
B88 |    -3 |     0
B86 |    -1 |    -9
B84 |    -6 |     4
B82 |   -12 |    -6
B80 |     1 |    -2
B7E |     1 |     9
B7C |     7 |     4
BB6 |    -3 |    11
BB4 |    -8 |     0
BB2 |   -12 |    -9
BB0 |    -1 |    -2
BAE |     1 |    -7
BAC |     3 |    13
BAA |     8 |    15
BA8 |    10 |    13
BA6 |    -1 |     9
BA4 |     1 |     9
BA2 |     1 |    -4
BA0 |   -16 |    -6
B9E |   -21 |   -11
B9C |    -3 |     7
B9A |     1 |     4
BD4 |     1 |    -7
BD2 |    12 |     2
BD0 |    -3 |     0
BCE |     7 |    -6
BCC |     8 |    11
BCA |    -3 |    -9
BC8 |    -1 |    -2
BC6 |     7 |    -6
BC4 |     3 |     4
BC2 |     1 |     0
BC0 |   -12 |   -11
BBE |    12 |     7
BBC |     7 |     4
BBA |     5 |     0
BB8 |    -5 |    -4
BF2 |     3 |    18
BF0 |     7 |     1
BEE |    -3 |    14
BEC |    -5 |    12
BEA |    -5 |     1
BE8 |   -10 |    12
BE6 |     7 |     3
BE4 |   -12 |     5
BE2 |    -6 |     3
BE0 |    -8 |    14
BDE |   -12 |     3
BDC |    -3 |     7
BDA |    -3 |     3
BD8 |   -16 |    14
BD6 |    -5 |    -1
BFE |     1 |     9
BFC |   -12 |    11
BFA |     1 |     0
BF8 |     3 |    11
BF6 |    -3 |     0
BF4 |     1 |     0
